Comment,Designator,Footprint,LCSC,Quantity
0.1uF,"C2,C4",C_0603_1608Metric,C127833,2
0.1uF,C3,C_0201_0603Metric,C85923,1
100,R2,R_0805_2012Metric,C445646,1
10K,"R1,R3,R4",R_0201_0603Metric,C717002,3
10K 0.1%,R6,R_0603_1608Metric,C190610,1
10K THERM,R5,R_0603_1608Metric,C236277,1
10uF,C5,C_0603_1608Metric,C77040,1
10uH,L1,L_0805_2012Metric,C88172,1
14 mH,L2,ELT3KN,C20012585,1
1uF,C1,C_0805_2012Metric,C116352,1
1uF,"C6,C7",C_0603_1608Metric,C2167386,2
22pf,"C8,C9",C_0402_1005Metric,C126502,2
ATSAML22J18A-MUT,U1,QFN64_9X9MC_MCH,C618315,1
Crystal,X1,Crystal_SMD_3215-2Pin_3.2x1.5mm,C2450269,1
EVP-BB1AAB000,RESET1,SW_EVP-BB1AAB000,C5185477,1
FH19C-9S-0.5SH_10_,J2,FH19C9S05SH10,C598007,1
MIC5365-3.3YC5-TR,U4,SOT65P210X110-5N,C73103,1
QBLP617-IW,D2,LED_QBLP617,C7329223,1
Q_NMOS_GSD,Q1,SOT-523,C509959,1
SCHOTTKY,D1,SOD-323F,C119617,1
